ID,Duplicates,Commons model allows,Notes,Session date,Evidence,Name,Organisation,Role ,Member/Witness,"Reference (Question, page, line)",Competency,RMFI category,Other reason for inclusion ,Notes.1,Link
O1,,No,,2022-01-25,Oral,"Evans of Weardale, Lord",Committee on Standards in Public Life,Chair ,Witness,Q51,Outside interests,Miscellaneous,,,https://committees.parliament.uk/oralevidence/3324/html/
O2,,No,Situation may change if code changes,2022-01-25,Oral,"Evans of Weardale, Lord",Committee on Standards in Public Life,Chair ,Witness,Q54,Conflict between RMFI and Ministerial register,Multiple/all categories,Different data requirements,There are two separate databases with different information held depending on role.,https://committees.parliament.uk/oralevidence/3324/html/
O3,,No,Definition of family fits relationships,2022-01-25,Oral,"Rose, Jonathan",De Montfort University,Associate Professor in Politics and Research Methodology,Witness,Q72,How many family members employed,Family members employed and paid from parliamentary expenses,,,https://committees.parliament.uk/oralevidence/3324/html/
O3A,,No,IPSA,2022-01-25,Oral,"Rose, Jonathan",De Montfort University,Associate Professor in Politics and Research Methodology,Witness,Q72,How many family members employed and cost,Family members employed and paid from parliamentary expenses,,,https://committees.parliament.uk/oralevidence/3324/html/
O4,,No,Need to aggregate in code,2022-01-25,Oral,"White, Dr Hannah",Institute for Government,Deputy Director,Witness,Q88,What are the number of hours spent on second jobs,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3324/html/
O5,O4,Duplicate,,2022-01-25,Oral,"Stone, Ethan",National World,Investigative Reporter,Witness,Q133,What are the number of hours spent on second jobs,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3343/html/
O6,,No,Need to aggregate in code,2022-01-25,Oral,"Stone, Ethan",National World,Investigative Reporter,Witness,Q134,What is the number of Members with outside interests,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3343/html/
O7,,No,,2022-01-25,Oral,"Stone, Ethan",National World,Investigative Reporter,Witness,Q135,What is the nature of the outside interests/second jobs,Employment and earnings,,Potential link to Rush about what a Member is doing before they enter Parliament. Second job based on previous experience or potential Parliamentary influence.,https://committees.parliament.uk/oralevidence/3343/html/
O8,,No,,2022-01-25,Oral,"Webber, Esther",Politico,Senior UK correspondent,Witness,Q144,How often is the information gathered/published (timeliness),Multiple/all categories,"Data capture, storage and standards; Compliance ",,https://committees.parliament.uk/oralevidence/3343/html/
O9,,No,Threshold meeting only,2022-01-25,Oral,"Stone, Ethan",National World,Investigative Reporter,Witness,Q147,What is the total rental income for Members owning multiple properties,Land and property portfolio,,,https://committees.parliament.uk/oralevidence/3343/html/
O10,,No,Not by SIC ,2022-01-25,Oral,"Webber, Esther",Politico,Senior UK correspondent,Witness,Q147,What is the company name employing a Member and what sort of business is it,Employment and earnings,,Some of the data not in current ruleset. References this additional information is in peer's register of interests. Also potential link to Rush.,https://committees.parliament.uk/oralevidence/3343/html/
O11,,No,"Categories 2,3 and 5 only",2022-01-25,Oral,"Dyer, Henry",Insider,Politics Reporter,Witness,Q150 ,Data linked by Companies House number,,Linking to other data sets or systems ,Data not in current ruleset,https://committees.parliament.uk/oralevidence/3343/html/
O12,,No,Definition of family fits relationships,2022-01-25,Oral,"Dyer, Henry",Insider,Politics Reporter,Witness,Q153,How many Members family members are involved in lobbying,Family members engaged in lobbying,,Data not in current ruleset,https://committees.parliament.uk/oralevidence/3343/html/
O13,,No,Current MPs only,2022-01-25,Oral,"Hughes, Solomon",Private Eye,Journalist,Witness,Q159,What are the second jobs of former Ministers/Prime Ministers,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3343/html/
O14,,No,,2022-01-25,Oral,"Hislop, Ian",Private Eye,Editor,Witness,Q175,What number of Members second job is allied to their previous experience,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3343/html/
O15,O11,Duplicate,,2022-01-25,Oral,"Hislop, Ian",Private Eye,Editor,Witness,Q187,Data linked by Companies House number,Employment and earnings,,Data not in current ruleset,https://committees.parliament.uk/oralevidence/3343/html/
O16,,No,Definition of lobbying,2022-01-25,Oral,"Hislop, Ian",Private Eye,Editor,Witness,Q190,Which companies have spent the most amount of money on lobbying,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3343/html/
O17,O4,Duplicate,,2022-01-25,Oral,"Hughes, Solomon",Private Eye,Journalist,Witness,Q193,What are the number of hours spent on second jobs,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3343/html/
O18,,No,,2022-01-25,Oral,"Green, Kate",House of Commons,Members,Witness,Q229,Q229,Employment and earnings; Shareholdings,,"Confusion on my part on what is a constituency conflict of interest, so have added the question",https://committees.parliament.uk/oralevidence/3343/html/
O19,O8,Duplicate,,2022-04-26,Oral,"Ellis, Michael",House of Commons,Members,Witness,Q452,How often is the information gathered/published (timeliness),Multiple/all categories,"Data capture, storage and standards; Compliance ",Requirement for Ministerial interests every 6 months; so difference for members interests 28 days,https://committees.parliament.uk/oralevidence/10146/html/
O20,O2,Duplicate,,2022-04-26,Oral,"Ellis, Michael",House of Commons,Members,Witness,Q458,Conflict between RMFI and Ministerial register,Multiple/all categories,Different data requirements,Value of financial interests and costs don't need to be recorded on Ministerial register; difference between MP constitutency capacity and ministerial responsibility.,https://committees.parliament.uk/oralevidence/10146/html/
O21,,No,Situation may change if code changes,2022-04-26,Oral,"Spencer, Mark",House of Commons,Members,Witness,Q461,Interests related to executive (ministerial capacity) OR legislative functions of ministers,Multiple/all categories,Distinction between ministerial responsponsibilities and legislature,Separation of powers,https://committees.parliament.uk/oralevidence/10146/html/
O22,O4,Duplicate,,2022-04-26,Oral,"Spencer, Mark",House of Commons,Members,Witness,Q502,What are the number of hours spent on second jobs,Employment and earnings,,,https://committees.parliament.uk/oralevidence/10146/html/
O23,,No,Need to aggregate in code,2022-04-26,Oral,"Spencer, Mark",House of Commons,Members,Witness,Q502,What is the salary earnt on second jobs,Employment and earnings,,,https://committees.parliament.uk/oralevidence/10146/html/
O24,,No,Out of scope,2022-03-08,Oral,"Ryder, Sir Ernest","
Carried out Review of fairness and natural justice in the House’s standards system",Former Senior President at Tribunals for the United Kingdom and former Lord Justice of Appeal,Witness,,,Multiple/all categories,,Investigating breaches of the code and appeals.  Nothing to note abou the register.,https://committees.parliament.uk/oralevidence/9879/html/
O25,,No,Need to aggregate in code,2022-01-26,Oral,"Burgon, Richard",House of Commons,Members,Witness,Q232,What is the number of MPs with second jobs,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O26,O7,Duplicate,,2022-01-26,Oral,"Burgon, Richard",House of Commons,Members,Witness,Q232,What is the nature of the outside interests/second jobs,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O27,,No,,2022-01-26,Oral,"Burgon, Richard",House of Commons,Members,Witness,Q232,Is the outside employment required to uphold a professional registration held prior to becoming an MP.,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O28,,No,,2022-01-26,Oral,"Burgon, Richard",House of Commons,Members,Witness,Q234,What number of Members second job is allied to their previous experience,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O29,,No,,2022-01-26,Oral,"Burgon, Richard",House of Commons,Members,Witness,Q235,Did the Member hold the role prior to being elected,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O30,O23,Duplicate,,2022-01-26,Oral,"Burgon, Richard",House of Commons,Members,Witness,Q236,What is the salary earnt on second jobs,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O31,O4,Duplicate,,2022-01-26,Oral,"Burgon, Richard",House of Commons,Members,Witness,Q250,What are the number of hours spent on second jobs,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O32,,No,Under miscellaneous. Limited information under current rules,2022-01-26,Oral,"Burgon, Richard",House of Commons,Members,Witness,Q250,Where are non-pecuniary roles declared and registered,Employment and earnings,,Links to Limits on Outside work section of the review and proposal to declare all non-pecuniary roles,https://committees.parliament.uk/oralevidence/3346/pdf/
O33,,No,,2022-01-26,Oral,"Burgon, Richard",House of Commons,Members,Witness,Q253,What number of Members second job is allied to their previous experience,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O34,O7,Duplicate,,2022-01-26,Oral,"Burgon, Richard",House of Commons,Members,Witness,Q253,What is the nature of the outside interests/second jobs,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O35,,No,,2022-01-26,Oral,"Wiggin, SIr Bill",House of Commons,Members,Witness,Q284,Does the employment complement a members parliamentary role and responsibilities.,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O36,O35,Duplicate,,2022-01-26,Oral,"Wiggin, SIr Bill",House of Commons,Members,Witness,Q302/303,Does the employment complement a members parliamentary role and responsibilities.,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O37,O2,Duplicate,,2022-01-26,Oral,"Stone, Kathyrn",House of Commons,Parliamentary Commissioner for Standards,Witness,Q306,Conflict between RMFI and Ministerial register,Multiple/all categories,Different data requirements,"Different degrees of scrutiny and requirement for each list (e.g. greater requirement for backbenchers to register gifts and hospitality, monitored every 28 days rather than 6 months).",https://committees.parliament.uk/oralevidence/3346/pdf/
